capacity,fitness,generation
3258.823529411765,inf,18
3470.5882352941176,inf,18
5729.411764705882,inf,18
3470.5882352941176,inf,18
4847.058823529412,inf,18
3400.0,inf,18
4847.058823529412,inf,18
1141.1764705882354,inf,18
3541.176470588235,inf,18
3400.0,inf,18
3364.705882352941,inf,18
3294.1176470588234,inf,18
3576.470588235294,inf,18
3541.176470588235,inf,18
1141.1764705882354,inf,18
3364.705882352941,inf,18
3258.823529411765,inf,19
3470.5882352941176,inf,19
3541.176470588235,inf,19
3470.5882352941176,inf,19
3400.0,inf,19
2411.764705882353,inf,19
3788.235294117647,inf,19
4423.529411764706,inf,19
3576.470588235294,inf,19
3364.705882352941,inf,19
5729.411764705882,inf,19
1141.1764705882354,inf,19
1141.1764705882354,inf,19
2270.5882352941176,inf,19
1070.5882352941176,inf,19
3400.0,inf,19
4811.764705882353,inf,19
3576.470588235294,inf,19
3717.6470588235293,inf,19
1141.1764705882354,inf,19
3258.823529411765,inf,19
1070.5882352941176,inf,19
3364.705882352941,inf,19
3717.6470588235293,inf,19
1000.0,inf,19
1000.0,inf,19
3400.0,inf,19
1000.0,inf,19
3788.235294117647,inf,19
3258.823529411765,inf,19
3258.823529411765,inf,19
3258.823529411765,inf,19
3400.0,inf,20
1141.1764705882354,inf,20
1317.6470588235293,inf,20
3400.0,inf,20
3470.5882352941176,inf,20
3470.5882352941176,inf,20
3541.176470588235,inf,20
3576.470588235294,inf,20
4811.764705882353,inf,20
1000.0,inf,20
3647.0588235294117,inf,20
3294.1176470588234,inf,20
2411.764705882353,inf,20
3400.0,inf,20
3258.823529411765,inf,20
3258.823529411765,inf,20
3682.3529411764707,inf,20
3576.470588235294,inf,20
3364.705882352941,inf,20
3682.3529411764707,inf,20
3364.705882352941,inf,20
3400.0,inf,20
3400.0,inf,20
4141.176470588235,inf,20
3470.5882352941176,inf,20
4423.529411764706,inf,20
1000.0,inf,20
3258.823529411765,inf,20
3364.705882352941,inf,20
3541.176470588235,inf,20
3470.5882352941176,inf,20
4423.529411764706,inf,20
3541.176470588235,inf,21
3400.0,inf,21
4423.529411764706,inf,21
3258.823529411765,inf,21
2341.176470588235,inf,21
3541.176470588235,inf,21
3541.176470588235,inf,21
4141.176470588235,inf,21
3329.4117647058824,inf,21
3400.0,inf,21
3400.0,inf,21
3611.764705882353,inf,21
3576.470588235294,inf,21
3576.470588235294,inf,21
3576.470588235294,inf,21
3647.0588235294117,inf,21
3541.176470588235,inf,21
3505.8823529411766,inf,21
3576.470588235294,inf,21
1000.0,inf,21
3435.294117647059,inf,21
1282.3529411764707,inf,21
3400.0,inf,21
3364.705882352941,inf,21
3576.470588235294,inf,21
1105.8823529411766,inf,21
4529.411764705883,inf,21
3752.9411764705883,inf,21
3364.705882352941,inf,21
3364.705882352941,inf,21
3258.823529411765,inf,21
3541.176470588235,inf,21
3364.705882352941,inf,22
3364.705882352941,inf,22
3541.176470588235,inf,22
1141.1764705882354,inf,22
3400.0,inf,22
1282.3529411764707,inf,22
3576.470588235294,inf,22
3576.470588235294,inf,22
3329.4117647058824,inf,22
3400.0,inf,22
3364.705882352941,inf,22
3576.470588235294,inf,22
3329.4117647058824,inf,22
3435.294117647059,inf,22
1000.0,inf,22
3541.176470588235,inf,22
3541.176470588235,inf,22
3400.0,inf,22
4211.764705882353,inf,22
3294.1176470588234,inf,22
3400.0,inf,22
3400.0,inf,22
4141.176470588235,inf,22
3364.705882352941,inf,22
3752.9411764705883,inf,22
3576.470588235294,inf,22
4529.411764705883,inf,22
3258.823529411765,inf,22
1035.2941176470588,inf,22
4494.117647058823,inf,22
3717.6470588235293,inf,22
4458.823529411765,inf,22
3400.0,inf,23
3576.470588235294,inf,23
3364.705882352941,inf,23
3576.470588235294,inf,23
3294.1176470588234,inf,23
3470.5882352941176,inf,23
3400.0,inf,23
3364.705882352941,inf,23
3576.470588235294,inf,23
3576.470588235294,inf,23
3364.705882352941,inf,23
3400.0,inf,23
3964.705882352941,inf,23
3647.0588235294117,inf,23
3435.294117647059,inf,23
3576.470588235294,inf,23
4141.176470588235,inf,23
3329.4117647058824,inf,23
3329.4117647058824,inf,23
3541.176470588235,inf,23
3541.176470588235,inf,23
3541.176470588235,inf,23
3576.470588235294,inf,23
3541.176470588235,inf,23
3364.705882352941,inf,23
3435.294117647059,inf,23
3364.705882352941,inf,23
3400.0,inf,23
4494.117647058823,inf,23
1035.2941176470588,inf,23
3364.705882352941,inf,23
3364.705882352941,inf,23
3364.705882352941,inf,24
3364.705882352941,inf,24
3400.0,inf,24
4000.0,inf,24
1035.2941176470588,inf,24
3364.705882352941,inf,24
1035.2941176470588,inf,24
3576.470588235294,inf,24
3294.1176470588234,inf,24
3611.764705882353,inf,24
3541.176470588235,inf,24
8094.117647058823,inf,24
3329.4117647058824,inf,24
3329.4117647058824,inf,24
3682.3529411764707,inf,24
3823.529411764706,inf,24
3576.470588235294,inf,24
3400.0,inf,24
3364.705882352941,inf,24
3400.0,inf,24
3576.470588235294,inf,24
3541.176470588235,inf,24
3364.705882352941,inf,24
3400.0,inf,24
3576.470588235294,inf,24
3576.470588235294,inf,24
3576.470588235294,inf,24
3435.294117647059,inf,24
3647.0588235294117,inf,24
4423.529411764706,inf,24
3647.0588235294117,inf,24
4423.529411764706,inf,24
3400.0,inf,25
3364.705882352941,inf,25
3505.8823529411766,inf,25
3541.176470588235,inf,25
3400.0,inf,25
3682.3529411764707,inf,25
1105.8823529411766,inf,25
3294.1176470588234,inf,25
3364.705882352941,inf,25
3541.176470588235,inf,25
3611.764705882353,inf,25
3541.176470588235,inf,25
3576.470588235294,inf,25
3647.0588235294117,inf,25
3576.470588235294,inf,25
3541.176470588235,inf,25
3541.176470588235,inf,25
3329.4117647058824,inf,25
4388.235294117647,inf,25
3858.823529411765,inf,25
1141.1764705882354,inf,25
3294.1176470588234,inf,25
3576.470588235294,inf,25
3364.705882352941,inf,25
3541.176470588235,inf,25
3823.529411764706,inf,25
3435.294117647059,inf,25
1600.0,inf,25
3294.1176470588234,inf,25
1035.2941176470588,inf,25
3364.705882352941,inf,25
3364.705882352941,inf,25
1282.3529411764707,inf,26
3294.1176470588234,inf,26
3364.705882352941,inf,26
3294.1176470588234,inf,26
1600.0,inf,26
3541.176470588235,inf,26
3435.294117647059,inf,26
1211.764705882353,inf,26
3647.0588235294117,inf,26
3541.176470588235,inf,26
3541.176470588235,inf,26
3294.1176470588234,inf,26
3435.294117647059,inf,26
3294.1176470588234,inf,26
3541.176470588235,inf,26
1141.1764705882354,inf,26
3294.1176470588234,inf,26
3364.705882352941,inf,26
3364.705882352941,inf,26
3505.8823529411766,inf,26
3647.0588235294117,inf,26
3294.1176470588234,inf,26
1282.3529411764707,inf,26
3400.0,inf,26
1035.2941176470588,inf,26
1600.0,inf,26
1600.0,inf,26
3400.0,inf,26
3858.823529411765,inf,26
3541.176470588235,inf,26
3858.823529411765,inf,26
3541.176470588235,inf,26
3647.0588235294117,inf,27
3647.0588235294117,inf,27
1035.2941176470588,inf,27
3294.1176470588234,inf,27
3258.823529411765,inf,27
1741.1764705882351,inf,27
3329.4117647058824,inf,27
1317.6470588235293,inf,27
1141.1764705882354,inf,27
3258.823529411765,inf,27
1282.3529411764707,inf,27
1282.3529411764707,inf,27
3258.823529411765,inf,27
3435.294117647059,inf,27
3647.0588235294117,inf,27
3647.0588235294117,inf,27
1035.2941176470588,inf,27
3929.4117647058824,inf,27
3647.0588235294117,inf,27
1282.3529411764707,inf,27
1600.0,inf,27
6541.176470588235,inf,27
1105.8823529411766,inf,27
3294.1176470588234,inf,27
3929.4117647058824,inf,27
3576.470588235294,inf,27
1600.0,inf,27
3541.176470588235,inf,27
4070.5882352941176,inf,27
1035.2941176470588,inf,27
3576.470588235294,inf,27
3258.823529411765,inf,27
1317.6470588235293,inf,28
3541.176470588235,inf,28
1035.2941176470588,inf,28
1141.1764705882354,inf,28
1317.6470588235293,inf,28
3258.823529411765,inf,28
3541.176470588235,inf,28
3258.823529411765,inf,28
3647.0588235294117,inf,28
1282.3529411764707,inf,28
3576.470588235294,inf,28
1141.1764705882354,inf,28
1035.2941176470588,inf,28
1035.2941176470588,inf,28
6117.64705882353,inf,28
4352.941176470588,inf,28
3576.470588235294,inf,28
1741.1764705882351,inf,28
3435.294117647059,inf,28
3541.176470588235,inf,28
1000.0,inf,28
3400.0,inf,28
1035.2941176470588,inf,28
3294.1176470588234,inf,28
1035.2941176470588,inf,28
6541.176470588235,inf,28
1317.6470588235293,inf,28
3858.823529411765,inf,28
3541.176470588235,inf,28
3258.823529411765,inf,28
4000.0,inf,28
1035.2941176470588,inf,28
5835.294117647059,inf,29
1600.0,inf,29
3435.294117647059,inf,29
3258.823529411765,inf,29
1741.1764705882351,inf,29
3258.823529411765,inf,29
1000.0,inf,29
3576.470588235294,inf,29
1388.235294117647,inf,29
3576.470588235294,inf,29
3576.470588235294,inf,29
1000.0,inf,29
3294.1176470588234,inf,29
1176.4705882352941,inf,29
3258.823529411765,inf,29
3576.470588235294,inf,29
3435.294117647059,inf,29
1141.1764705882354,inf,29
3541.176470588235,inf,29
1035.2941176470588,inf,29
1141.1764705882354,inf,29
1035.2941176470588,inf,29
4105.882352941177,inf,29
3258.823529411765,inf,29
3294.1176470588234,inf,29
3858.823529411765,inf,29
1035.2941176470588,inf,29
3435.294117647059,inf,29
1141.1764705882354,inf,29
1141.1764705882354,inf,29
1035.2941176470588,inf,29
1035.2941176470588,inf,29
1035.2941176470588,inf,30
3294.1176470588234,inf,30
1035.2941176470588,inf,30
1035.2941176470588,inf,30
1035.2941176470588,inf,30
3294.1176470588234,inf,30
1282.3529411764707,inf,30
3294.1176470588234,inf,30
3435.294117647059,inf,30
3576.470588235294,inf,30
1141.1764705882354,inf,30
1035.2941176470588,inf,30
4000.0,inf,30
3294.1176470588234,inf,30
1176.4705882352941,inf,30
3400.0,inf,30
3435.294117647059,inf,30
4105.882352941177,inf,30
1317.6470588235293,inf,30
1105.8823529411766,inf,30
3858.823529411765,inf,30
3435.294117647059,inf,30
3294.1176470588234,inf,30
4141.176470588235,inf,30
3294.1176470588234,inf,30
1035.2941176470588,inf,30
5835.294117647059,inf,30
3576.470588235294,inf,30
3823.529411764706,inf,30
2023.5294117647059,inf,30
1000.0,inf,30
3258.823529411765,inf,30
3435.294117647059,inf,31
3294.1176470588234,inf,31
1035.2941176470588,inf,31
7811.764705882353,inf,31
3435.294117647059,inf,31
3294.1176470588234,inf,31
1035.2941176470588,inf,31
1035.2941176470588,inf,31
1035.2941176470588,inf,31
3576.470588235294,inf,31
1317.6470588235293,inf,31
3294.1176470588234,inf,31
1035.2941176470588,inf,31
3294.1176470588234,inf,31
3294.1176470588234,inf,31
3435.294117647059,inf,31
3823.529411764706,inf,31
1035.2941176470588,inf,31
3258.823529411765,inf,31
1882.3529411764707,inf,31
1035.2941176470588,inf,31
1035.2941176470588,inf,31
3435.294117647059,inf,31
3294.1176470588234,inf,31
3576.470588235294,inf,31
3294.1176470588234,inf,31
1000.0,inf,31
1176.4705882352941,inf,31
3823.529411764706,inf,31
1176.4705882352941,inf,31
3858.823529411765,inf,31
3576.470588235294,inf,31
3435.294117647059,inf,32
3294.1176470588234,inf,32
1176.4705882352941,inf,32
3294.1176470588234,inf,32
3435.294117647059,inf,32
3294.1176470588234,inf,32
3717.6470588235293,inf,32
3294.1176470588234,inf,32
3576.470588235294,inf,32
3541.176470588235,inf,32
3435.294117647059,inf,32
3294.1176470588234,inf,32
1035.2941176470588,inf,32
3823.529411764706,inf,32
3294.1176470588234,inf,32
3294.1176470588234,inf,32
3294.1176470588234,inf,32
3294.1176470588234,inf,32
3294.1176470588234,inf,32
3435.294117647059,inf,32
3258.823529411765,inf,32
1600.0,inf,32
1564.7058823529412,inf,32
3294.1176470588234,inf,32
1317.6470588235293,inf,32
3294.1176470588234,inf,32
3435.294117647059,inf,32
3435.294117647059,inf,32
1035.2941176470588,inf,32
1035.2941176470588,inf,32
1000.0,inf,32
1035.2941176470588,inf,32
3435.294117647059,inf,33
