width,thickness,wec_mass,fitness,generation
28.274509803921568,4.576470588235294,154117.64705882352,[[0.16601634]],0
19.96078431372549,4.12156862745098,431176.4705882353,[[0.18057171]],0
10.705882352941176,4.639215686274509,141764.70588235295,[[0.00789701]],0
10.627450980392156,3.196078431372549,254705.88235294117,[[0.19076827]],0
20.745098039215684,4.623529411764705,369411.76470588235,[[0.13423227]],0
16.11764705882353,2.9607843137254903,228235.29411764705,[[0.28437052]],0
27.80392156862745,4.341176470588236,325294.1176470588,[[0.18692192]],0
14.313725490196077,4.796078431372549,464705.8823529412,[[0.0759165]],0
13.450980392156863,3.980392156862745,445294.1176470588,[[0.15601685]],0
27.80392156862745,4.482352941176471,387058.82352941175,[[0.18123294]],0
28.58823529411765,4.215686274509804,325294.1176470588,[[0.19762192]],0
16.823529411764707,4.137254901960784,205294.11764705883,[[0.12145564]],0
24.431372549019606,4.654901960784313,297058.8235294118,[[0.14969421]],0
12.274509803921568,3.9019607843137254,57058.82352941176,[[0.04617164]],0
23.019607843137255,3.980392156862745,482352.9411764706,[[0.21161995]],0
17.372549019607842,4.654901960784313,57058.82352941176,[[0.06862345]],0
21.294117647058826,4.623529411764705,297058.8235294118,[[0.13166144]],0
27.725490196078432,2.333333333333333,94117.64705882352,[[0.35687494]],0
29.137254901960784,1.8470588235294119,320000.0,[[0.43698586]],0
27.96078431372549,4.3882352941176475,76470.58823529413,[[0.17154286]],0
25.372549019607845,4.105882352941176,203529.41176470587,[[0.18631136]],0
25.92156862745098,2.850980392156863,237058.82352941178,[[0.310821]],0
19.88235294117647,4.513725490196078,282941.1764705882,[[0.12774343]],0
17.294117647058822,4.105882352941176,485882.35294117645,[[0.17558799]],0
21.529411764705884,2.2862745098039214,265294.1176470588,[[0.41094071]],0
12.274509803921568,3.9019607843137254,466470.5882352941,[[0.16592991]],0
26.54901960784314,2.976470588235294,480588.23529411765,[[0.31749424]],0
13.058823529411764,3.6509803921568627,425882.35294117645,[[0.20371622]],0
25.92156862745098,4.466666666666667,325294.1176470588,[[0.17119185]],0
11.098039215686274,4.403921568627451,411764.70588235295,[[0.06671068]],0
19.96078431372549,3.6509803921568627,425882.35294117645,[[0.23443855]],0
21.058823529411764,4.105882352941176,272352.9411764706,[[0.16987628]],0
19.647058823529413,2.6470588235294117,281176.4705882353,[[0.35710423]],0
21.058823529411764,4.12156862745098,281176.4705882353,[[0.16939108]],0
27.96078431372549,4.105882352941176,203529.41176470587,[[0.19636855]],0
19.647058823529413,3.2901960784313724,417058.82352941175,[[0.28003711]],0
22.07843137254902,3.7294117647058824,291764.70588235295,[[0.21564668]],0
10.235294117647058,4.309803921568627,318235.29411764705,[[0.03943786]],0
24.11764705882353,2.8196078431372547,390588.23529411765,[[0.33463386]],0
17.607843137254903,2.9294117647058826,293529.4117647059,[[0.31131775]],0
21.294117647058826,4.654901960784313,170000.0,[[0.11873613]],0
19.88235294117647,4.513725490196078,290000.0,[[0.12847457]],0
10.07843137254902,4.764705882352941,205294.11764705883,[[0.00728017]],0
10.705882352941176,4.623529411764705,381764.70588235295,[[0.0347363]],0
17.294117647058822,4.105882352941176,478823.5294117647,[[0.17437078]],0
10.235294117647058,3.980392156862745,205294.11764705883,[[0.03840738]],1
10.705882352941176,4.639215686274509,141764.70588235295,[[0.00789701]],1
10.07843137254902,4.419607843137255,90588.23529411765,[[0.0077533]],1
11.647058823529411,4.764705882352941,205294.11764705883,[[0.01348579]],1
12.745098039215687,4.341176470588236,327058.82352941175,[[0.07291219]],1
29.92156862745098,4.137254901960784,184117.64705882352,[[0.19965014]],1
20.901960784313726,4.12156862745098,281176.4705882353,[[0.16842347]],1
11.019607843137255,3.980392156862745,198235.29411764705,[[0.05003347]],1
13.843137254901961,3.619607843137255,254705.88235294117,[[0.16158994]],1
21.294117647058826,4.623529411764705,300588.23529411765,[[0.1319694]],1
13.450980392156863,3.980392156862745,459411.76470588235,[[0.16012289]],1
27.254901960784313,4.968627450980392,392352.9411764706,[[0.15126672]],1
27.647058823529413,4.764705882352941,171764.70588235295,[[0.15366611]],1
20.745098039215684,4.623529411764705,372941.17647058825,[[0.13456422]],1
11.647058823529411,4.419607843137255,90588.23529411765,[[0.01394148]],1
17.372549019607842,4.545098039215686,57058.82352941176,[[0.07544204]],1
17.450980392156865,4.341176470588236,311176.4705882353,[[0.12447991]],1
27.725490196078432,4.545098039215686,71176.4705882353,[[0.16122843]],1
10.705882352941176,4.623529411764705,57058.82352941176,[[0.01208443]],1
17.372549019607842,4.654901960784313,381764.70588235295,[[0.10578544]],1
10.235294117647058,4.309803921568627,325294.1176470588,[[0.04129907]],1
14.862745098039216,4.921568627450981,207058.82352941178,[[0.03979242]],1
17.294117647058822,4.105882352941176,478823.5294117647,[[0.17437078]],1
27.80392156862745,4.905882352941177,115294.11764705883,[[0.1450624]],1
10.07843137254902,4.764705882352941,207058.82352941178,[[0.00721531]],1
